Estimates,RSE,Parameters,Model
0.069,0.0381,Cov_CLr_V1,46
0.0659,0.0373,Cov_CLr_V1,47
0.0732,0.0378,Cov_CLr_V1,48
0.063,0.0387,Cov_CLr_V1,49
0.0728,0.04,Cov_CLr_V1,50
0.0689,0.0379,Cov_CLr_V1,51
0.0599,0.0381,Cov_CLr_V1,52
0.0722,0.0385,Cov_CLr_V1,53
0.0632,0.0379,Cov_CLr_V1,54
0.0694,0.039,Cov_CLr_V1,55
0.0733,0.039,Cov_CLr_V1,56
0.0597,0.0378,Cov_CLr_V1,57
0.0721,0.0397,Cov_CLr_V1,58
0.0672,0.0387,Cov_CLr_V1,59
0.0743,0.0387,Cov_CLr_V1,60
0.0649,0.0379,Cov_CLr_V1,61
0.0719,0.0387,Cov_CLr_V1,62
0.0733,0.0388,Cov_CLr_V1,63
0.0699,0.0397,Cov_CLr_V1,64
0.0689,0.0395,Cov_CLr_V1,65
0.0624,0.0368,Cov_CLr_V1,66
0.0669,0.0382,Cov_CLr_V1,67
0.0617,0.0376,Cov_CLr_V1,68
0.0641,0.0376,Cov_CLr_V1,69
0.0617,0.0377,Cov_CLr_V1,70
